"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Mar 04 01:44:02 UTC 2026","Wed Mar 04 01:44:02 UTC 2026","0","tests.ui.login","test_login","","","","test_login_invalid_credentials",""
"broken","Wed Mar 04 01:44:02 UTC 2026","Wed Mar 04 01:44:02 UTC 2026","0","tests.ui.policy","test_policy","","","","test_policy_list_not_empty",""
"broken","Wed Mar 04 01:44:02 UTC 2026","Wed Mar 04 01:44:02 UTC 2026","0","tests.ui.dashboard","test_dashboard","","","","test_dashboard_navigation_visible",""
