"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Sep 17 03:03:03 UTC 2026","Thu Sep 17 03:03:03 UTC 2026","0","tests.ui.submission","test_submission","","","","test_submission_list_visible",""
"broken","Thu Sep 17 03:03:03 UTC 2026","Thu Sep 17 03:03:03 UTC 2026","0","tests.ui.quote","test_quote","","","","test_quote_has_premium",""
"broken","Thu Sep 17 03:03:03 UTC 2026","Thu Sep 17 03:03:03 UTC 2026","0","tests.ui.login","test_login","","","","test_login_invalid_credentials",""
"broken","Thu Sep 17 03:03:03 UTC 2026","Thu Sep 17 03:03:03 UTC 2026","0","tests.ui.submission","test_submission","","","","test_submission_form_required_fields",""
